Category,Account Number,Account Type,Item Description,FY24 ACTUAL,FY25 REQUESTED,FY25 ACTUAL,FY26 DEPT,FY26 ADMIN,CHANGE ($),CHANGE (%)
GENERAL GOVERNMENT,,,,,,,,,,
Moderator - 114,,,,,,,,,,
Select Board -122,,,,,,,,,,
Town Admin - 129,,,,,,,,,,
Finance Committee - 131,,,,,,,,,,
Accountant - 135,,,,,,,,,,
Assessor - 141,,,,,,,,,,
Treasurer Collector - 149,,,,,,,,,,
Information Technology - 155,,,,,,,,,,
Town Clerk - 161,,,,,,,,,,
Building & Maintenance - 192,,,,,,,,,,
PUBLIC SAFETY,,,,,,,,,,
Police - 210,,,,,,,,,,
Fire - 220,,,,,,,,,,
Land Use - 241,,,,,,,,,,
Emergency Management - 291,,,,,,,,,,
Animal Control - 292,,,,,,,,,0,0
Tree Warden - 294,,,,,,,,,,
Dispatch - 299,,,,,,,,,,
School - 300,,,,,,,,,,
Snow and Ice - 423,,,,,,,,,,
Street Lights - 424,,,,,,,,,,
Cemetery - 491,,,,,,,,,,
Senior Center - 541,,,,,,,,,,
Veterans - 543,,,,,,,,,,
Library - 610,,,,,,,,,,
Recreation - 630,,,,,,,,,,
Agricultural Commission - 690,,,,,,,,,,
Historical Commission - 691,,,,,,,,,,
Debt - Short-Term Interest - 750,,,,,,,,,,
Debt - Short Term Principal 750,,,,,,,,,,
Debt - Long-Term Principal - 751,,,,,,,,,,
Debt - Long-Term Interest - 752,,,,,,,,,,
Debt - School Roof Principal,,,,,,,,,,
Debt - School Roof Interest,,,Short Term Outside Levy,25000,25000,25000,52862,52862,27862,111
Cherry Sheet Assessment - 820,,,,,,,,,,
Worcester Regional Retirement - 911,,,,,,,,,,
Unemployment - 913,,,,,,,,,,
Health insurance - 914,,,,,,,,,,
Medicare - 916,,,,,,,,,,
Liability Insurance - 945,,,,,,,,,,
Offsets and Overlay - 999,,,,,,,,,,
