Category,Account Number,Account Type,Item Description,FY24 ACTUAL,FY25 REQUESTED,FY25 ACTUAL,FY26 DEPT,FY26 ADMIN,CHANGE ($),CHANGE (%)
GENERAL GOVERNMENT,,,,0,0,0,0,0,0,0
Moderator - 114,,,,0,0,0,0,0,0,0
Select Board -122,,,,0,0,0,0,0,0,0
Town Admin - 129,,,,0,0,0,0,0,0,0
Finance Committee - 131,,,,0,0,0,0,0,0,0
Accountant - 135,,,,0,0,0,0,0,0,0
Assessor - 141,,,,0,0,0,0,0,0,0
Treasurer Collector - 149,,,,0,0,0,0,0,0,0
Information Technology - 155,,,,0,0,0,0,0,0,0
Town Clerk - 161,,,,0,0,0,0,0,0,0
Building & Maintenance - 192,,,,0,0,0,0,0,0,0
PUBLIC SAFETY,,,,0,0,0,0,0,0,0
Police - 210,,,,0,0,0,0,0,0,0
Fire - 220,,,,0,0,0,0,0,0,0
Land Use - 241,,,,0,0,0,0,0,0,0
Emergency Management - 291,,,,0,0,0,0,0,0,0
Animal Control - 292,,,,0,0,0,0,0,0,0
Tree Warden - 294,,,,0,0,0,0,0,0,0
Dispatch - 299,,,,0,0,0,0,0,0,0
School - 300,,,,0,0,0,0,0,0,0
Snow and Ice - 423,,,,0,0,0,0,0,0,0
Street Lights - 424,,,,0,0,0,0,0,0,0
Cemetery - 491,,,,0,0,0,0,0,0,0
Senior Center - 541,,,,0,0,0,0,0,0,0
Veterans - 543,,,,0,0,0,0,0,0,0
Library - 610,,,,0,0,0,0,0,0,0
Recreation - 630,,,,0,0,0,0,0,0,0
Agricultural Commission - 690,,,,0,0,0,0,0,0,0
Historical Commission - 691,,,,0,0,0,0,0,0,0
Debt - Short-Term Interest - 750,,,,0,0,0,0,0,0,0
Debt - Short Term Principal 750,,,,0,0,0,0,0,0,0
Debt - Long-Term Principal - 751,,,,0,0,0,0,0,0,0
Debt - Long-Term Interest - 752,,,,0,0,0,0,0,0,0
Debt - School Roof Principal,,,,0,0,0,0,0,0,0
Debt - School Roof Interest,,,Short Term Outside Levy,25000,25000,25000,52862,52862,27862,111
Cherry Sheet Assessment - 820,,,,0,0,0,0,0,0,0
Worcester Regional Retirement - 911,,,,0,0,0,0,0,0,0
Unemployment - 913,,,,0,0,0,0,0,0,0
Health insurance - 914,,,,0,0,0,0,0,0,0
Medicare - 916,,,,0,0,0,0,0,0,0
Liability Insurance - 945,,,,0,0,0,0,0,0,0
Offsets and Overlay - 999,,,,0,0,0,0,0,0,0
